Actors corrupted (%),Total time (seconds)
0,6.09709
0,8.07937
0,8.1908
0,6.23752
0,7.14349
0,10.2094
0,8.25159
0,4.29575
0,6.10586
0,6.2716
0,8.09592
0,6.17568
0,8.11371
0,10.2316
0,8.20667
0,8.11134
0,10.1142
0,10.0744
0,4.29575
0,6.21596
0,6.12606
0,6.97393
0,6.22573
0,6.16936
0,8.10211
0,7.95631
0,8.22498
0,8.05343
0,4.29575
0,6.15795
0,6.36675
0,6.2249
0,6.32307
0,6.43517
0,6.18451
0,8.14437
0,8.3042
0,12.107
0,19152.4
0,4.29575
0,4.25743
0,6.24463
0,6.31622
0,8.21609
0,6.27861
0,8.23724
0,7.04221
0,7.33498
0,10.3139
0,4.29575
0,6.05361
0,6.13179
0,6.12249
0,10.2283
0,6.26242
0,8.10635
0,6.25039
0,8.29177
0,8.12375
0,4.29575
0,6.24589
0,6.29486
0,6.33787
0,6.20427
0,6.26555
0,8.30752
0,8.093
0,8.21959
0,6.63478
0,4.29575
0,6.21826
0,8.31772
0,6.09878
0,6.27735
0,7.13075
0,10.0436
0,10.0835
0,10.1938
0,12.0339
0,4.29575
0,6.04152
0,5.99521
0,6.22857
0,6.20342
0,7.11494
0,7.16631
0,6.87976
0,8.21671
0,8.17853
0,8.61705
0,7.98791
0,14.393
0,10.0832
0,18.1007
0,12.157
0,8.20283
0,12.2919
0,10.0785
0,10.4202
0,10.0043
0,16.0805
0,12.0007
0,13.9214
0,14.3431
0,14.029
0,21.8424
0,19.9966
0,25.9456
0,19.8231
0,19.8897
0,14.5818
0,14.0259
0,21.928
0,25.9418
0,21.9016
0,19.7861
0,24.0174
0,21.8342
0,29.7743
0,20.2911
0,31.8764
0,20.1488
0,31.8337
0,29.9637
0,25.816
0,21.8877
0,22.0337
0,31.6991
0,27.8008
0,29.804
0,39.8627
0,29.8864
0,35.849
0,29.8431
0,25.8619
0,31.9144
0,31.8409
0,34.0696
0,37.8415
0,27.7358
0,31.7005
0,33.7588
0,33.7741
0,33.8127
0,37.6664
0,35.7778
0,43.6355
0,33.7773
0,41.8447
0,43.6638
0,41.7161
0,39.7274
0,43.7795
0,47.7014
0,43.6291
0,47.7167
0,41.7361
0,37.8185
0,55.6351
0,49.486
0,39.8362
0,51.6367
0,47.7
0,51.6142
0,55.5299
0,47.696
0,43.7109
0,53.612
0,51.7134
0,51.655
0,61.6067
0,55.6438
0,59.706
0,55.6203
0,51.7518
0,63.5769
0,61.6862
0,63.565
0,63.6263
